iter	RMSE
0	111207.1079
1	107284.4015
2	103873.2382
3	100658.61
4	97539.61055
5	94798.09254
6	92307.45052
7	90017.37764
8	87924.28663
9	86042.93455
10	84311.57538
11	82699.71985
12	81087.47105
13	79627.93837
14	78459.32928
15	77322.01492
16	76291.30745
17	75404.33226
18	74454.43491
19	73648.23652
20	72857.36672
21	72109.98572
22	71473.28758
23	70889.32123
24	70187.57583
25	69664.91125
26	69037.5345
27	68552.37964
28	68044.63498
29	67625.19314
30	67126.16665
31	66758.00543
32	66337.30583
33	66049.14867
34	65733.77532
35	65401.52186
36	65119.6781
37	64799.16587
38	64549.36837
39	64328.97312
40	64032.38113
41	63650.39887
42	63434.59834
43	63252.70018
44	62927.46816
45	62667.96648
46	62337.01636
47	62189.84831
48	61952.84499
49	61780.42965
50	61519.10816
51	61401.54067
52	61247.70007
53	60971.3433
54	60747.14714
55	60590.66262
56	60422.47025
57	60213.98577
58	60050.94404
59	59924.74415
60	59810.79346
61	59661.75967
62	59465.35493
63	59263.66464
64	59154.33392
65	59017.48091
66	58878.08089
67	58717.05148
68	58591.81806
69	58426.3776
70	58345.78932
71	58134.14
72	58001.15924
73	57918.64797
74	57802.96564
75	57625.61827
76	57520.96499
77	57435.51976
78	57341.24382
79	57233.65557
80	57159.7723
81	57032.88925
82	56944.15522
83	56851.19654
84	56712.7391
85	56586.24979
86	56499.64765
87	56355.9747
88	56190.18773
89	56124.46721
90	56002.96374
91	55867.86226
92	55767.84706
93	55684.45543
94	55611.96928
95	55567.23461
96	55490.6019
97	55440.22518
98	55376.18344
99	55287.32573
100	55237.39849
101	55156.4642
102	55003.24714
103	54944.34612
104	54899.30282
105	54826.15244
106	54776.96298
107	54592.58203
108	54509.15677
109	54419.80688
110	54354.15869
111	54236.48025
112	54164.61082
113	54085.46615
114	54029.64518
115	53969.02337
116	53891.62811
117	53774.39282
118	53714.46969
119	53652.69995
120	53570.41496
121	53483.32452
122	53410.00659
123	53353.26848
124	53294.6766
125	53216.34864
126	53175.86911
127	53144.94174
128	53017.97272
129	52934.86472
130	52849.47888
131	52770.32219
132	52715.96346
133	52659.79968
134	52627.75025
135	52561.55261
136	52497.87318
137	52468.51585
138	52424.89685
139	52362.3184
140	52317.37585
141	52253.28165
142	52178.1673
143	52139.80118
144	52076.96154
145	52014.6693
146	51933.74004
147	51876.75458
148	51803.20575
149	51748.98974
150	51652.26807
151	51601.55573
152	51564.7822
153	51530.76206
154	51464.9242
155	51423.26367
156	51386.17049
157	51354.8103
158	51300.17203
159	51273.46215
160	51190.65492
161	51151.97391
162	51097.51743
163	51054.41139
164	51001.89745
165	50954.22602
166	50918.28224
167	50852.72586
168	50822.40875
169	50793.10706
170	50749.86031
171	50709.06745
172	50633.46497
173	50553.73556
174	50519.73309
175	50452.68329
176	50404.04907
177	50365.59018
178	50321.08986
179	50269.46916
180	50216.62282
181	50181.73956
182	50130.44259
183	50093.07006
184	50070.13627
185	50035.84361
186	49977.13275
187	49910.02244
188	49834.58575
189	49789.74727
190	49721.79662
191	49672.77527
192	49636.8278
193	49563.78181
194	49529.92274
195	49492.07493
196	49456.24443
197	49414.39397
198	49358.61191
199	49308.37126
200	49253.50352
201	49206.08522
202	49148.10595
203	49087.32334
204	49037.33277
205	49007.77621
206	48982.74306
207	48930.52577
208	48902.58602
209	48820.00963
210	48767.92453
211	48716.4847
212	48671.03185
213	48619.84964
214	48568.23469
215	48526.72864
216	48478.17488
217	48447.96486
218	48420.03306
219	48385.12446
220	48338.96411
221	48299.9184
222	48257.7713
223	48218.13311
224	48172.67497
225	48130.63696
226	48102.19993
227	48060.16991
228	48016.56569
229	47982.57613
230	47932.64586
231	47900.5239
232	47880.04934
233	47847.1868
234	47808.08091
235	47767.08538
236	47721.41192
237	47693.3318
238	47662.91091
239	47618.64304
240	47589.41089
241	47570.01459
242	47520.24709
243	47483.27513
244	47458.74468
245	47422.59125
246	47402.67171
247	47363.46242
248	47320.05485
249	47294.46518
250	47260.69764
251	47232.46663
252	47203.16035
253	47162.19355
254	47133.16289
255	47098.4021
256	47059.98679
257	47033.9103
258	47012.14987
259	46984.01782
260	46966.93924
261	46939.15046
262	46900.03403
263	46864.77009
264	46834.98816
265	46807.05026
266	46771.04109
267	46744.01662
268	46700.66701
269	46667.50159
270	46629.1399
271	46600.42123
272	46566.33842
273	46531.32001
274	46488.68165
275	46437.09726
276	46392.15986
277	46354.21746
278	46324.50627
279	46295.9144
280	46249.23879
281	46218.92271
282	46197.67084
283	46176.66885
284	46157.17892
285	46124.45566
286	46109.50927
287	46091.85956
288	46060.78724
289	46043.28385
290	46019.02806
291	45985.50457
292	45956.11985
293	45931.65068
294	45910.50735
295	45885.61627
296	45860.16914
297	45825.00456
298	45797.29052
299	45766.4622
300	45722.39851
301	45704.05247
302	45684.2417
303	45653.27648
304	45616.3113
305	45600.63306
306	45574.34077
307	45546.78303
308	45499.21471
309	45464.65896
310	45441.49527
311	45421.38764
312	45384.96939
313	45347.09592
314	45312.43775
315	45295.46768
316	45274.86982
317	45246.06197
318	45213.31113
319	45195.11247
320	45176.08283
321	45156.65087
322	45136.15134
323	45116.89616
324	45086.01465
325	45059.51687
326	45037.10457
327	45006.82759
328	44981.80121
329	44943.43818
330	44910.26987
331	44868.77134
332	44856.61225
333	44815.24004
334	44796.23809
335	44777.0324
336	44760.9029
337	44743.2148
338	44717.55772
339	44697.67346
