iter	Passed	Remaining
0	7	7706
1	12	6228
2	16	5488
3	20	5006
4	22	4534
5	25	4200
6	27	3969
7	30	3831
8	33	3690
9	35	3548
10	38	3431
11	40	3322
12	42	3226
13	44	3152
14	46	3081
15	49	3023
16	51	2967
17	53	2924
18	55	2888
19	58	2849
20	60	2820
21	62	2796
22	65	2777
23	68	2783
24	70	2758
25	73	2734
26	75	2717
27	77	2695
28	79	2676
29	82	2658
30	84	2641
31	86	2628
32	89	2613
33	91	2599
34	93	2584
35	96	2572
36	98	2561
37	100	2549
38	102	2536
39	105	2524
40	107	2521
41	110	2512
42	112	2503
43	114	2495
44	117	2493
45	120	2495
46	122	2486
47	125	2480
48	127	2472
49	129	2467
50	132	2459
51	134	2450
52	136	2443
53	139	2439
54	141	2434
55	144	2434
56	146	2426
57	148	2419
58	151	2411
59	153	2405
60	156	2408
61	159	2405
62	161	2399
63	164	2401
64	167	2413
65	172	2445
66	177	2467
67	179	2463
68	182	2457
69	184	2449
70	187	2448
71	190	2458
72	193	2453
73	195	2449
74	198	2442
75	200	2435
76	202	2430
77	205	2424
78	208	2426
79	210	2420
80	212	2415
81	215	2410
82	217	2405
83	220	2409
84	223	2403
85	225	2397
86	227	2391
87	230	2388
88	232	2383
89	235	2377
90	237	2372
91	239	2367
92	242	2365
93	245	2361
94	247	2356
95	249	2350
96	251	2345
97	254	2340
98	257	2340
99	259	2338
100	262	2333
101	264	2329
102	266	2324
103	269	2318
104	271	2314
105	274	2313
106	276	2308
107	278	2303
108	281	2299
109	283	2295
110	286	2292
111	288	2288
112	291	2284
113	293	2280
114	295	2277
115	298	2277
116	301	2271
117	303	2266
118	305	2261
119	307	2258
120	310	2257
121	313	2252
122	315	2247
123	317	2243
124	320	2240
125	322	2237
126	324	2232
127	327	2227
128	329	2223
129	331	2220
130	334	2216
131	336	2211
132	338	2207
133	340	2202
134	344	2205
135	348	2210
136	353	2224
137	358	2236
138	361	2239
139	364	2236
140	366	2232
141	368	2227
142	371	2223
143	373	2219
144	376	2218
145	378	2215
146	380	2210
147	383	2206
148	385	2203
149	388	2202
150	391	2198
151	393	2195
152	395	2190
153	397	2186
154	400	2182
155	402	2179
156	405	2174
157	407	2171
158	410	2168
159	412	2164
160	414	2160
161	416	2156
162	419	2154
163	421	2150
164	424	2147
165	427	2146
166	429	2142
167	432	2139
168	434	2135
169	436	2131
170	438	2127
171	441	2123
172	443	2120
173	445	2116
174	449	2117
175	451	2114
176	454	2111
177	456	2107
178	458	2103
179	460	2099
180	463	2096
181	465	2092
182	467	2088
183	470	2084
184	472	2081
185	474	2078
186	477	2077
187	480	2074
188	482	2072
189	485	2069
190	487	2066
191	490	2062
192	492	2058
193	494	2055
194	497	2051
195	499	2048
196	501	2045
197	503	2041
198	506	2038
199	508	2035
200	511	2032
201	513	2028
202	515	2024
203	517	2021
204	520	2018
205	522	2015
206	525	2011
207	527	2008
208	529	2005
209	532	2002
210	534	1999
211	536	1995
212	539	1992
213	541	1988
214	543	1985
215	545	1981
216	548	1978
217	550	1975
218	552	1972
219	555	1969
220	557	1966
221	560	1962
222	562	1959
223	564	1957
224	567	1956
225	570	1953
226	572	1949
227	574	1945
228	577	1943
229	579	1939
230	581	1936
231	584	1933
232	586	1931
233	588	1927
234	591	1924
235	593	1921
236	595	1918
237	599	1918
238	601	1914
239	603	1911
240	606	1909
241	608	1906
242	610	1903
243	613	1900
244	615	1897
245	618	1894
246	620	1892
247	622	1888
248	625	1886
249	627	1883
250	630	1881
251	632	1878
252	635	1875
253	637	1873
254	640	1870
255	642	1867
256	644	1864
257	647	1861
258	649	1858
259	652	1855
260	654	1853
261	657	1853
262	660	1850
263	662	1847
264	665	1844
265	667	1842
266	669	1838
267	672	1836
268	674	1832
269	676	1830
270	679	1827
271	681	1824
272	683	1821
273	686	1818
274	689	1816
275	691	1813
276	693	1810
277	696	1808
278	698	1805
279	700	1802
280	703	1799
281	705	1796
282	708	1793
283	710	1791
284	712	1787
285	715	1785
286	717	1782
287	719	1779
288	722	1776
289	724	1773
290	727	1772
291	729	1769
292	732	1766
293	734	1763
294	736	1760
295	739	1757
296	741	1754
297	743	1752
298	746	1751
299	749	1748
300	751	1745
301	753	1742
302	756	1739
303	758	1736
304	760	1733
305	763	1730
306	765	1728
307	768	1725
308	770	1722
